JournalTitle,MedAbbr,ISSN,eISSN,JIF_2024,JIF_Quartile,CAS_Quartile
CA: a cancer journal for clinicians,CA Cancer J Clin,0007-9235,1542-4863,232.4,Q1,1.0
Nature reviews. Microbiology,Nat Rev Microbiol,1740-1526,1740-1534,103.3,Q1,1.0
Nature reviews. Drug discovery,Nat Rev Drug Discov,1474-1776,1474-1784,101.8,Q1,1.0
Nature reviews. Molecular cell biology,Nat Rev Mol Cell Biol,1471-0072,1471-0080,90.2,Q1,1.0
Kidney international supplements,Kidney Int Suppl (2011),2157-1724,2157-1716,89.6,Q1,2.0
Nature reviews. Clinical oncology,Nat Rev Clin Oncol,1759-4774,1759-4782,82.2,Q1,1.0
The New England journal of medicine,N Engl J Med,0028-4793,1533-4406,78.5,Q1,1.0
Nature reviews. Cancer,Nat Rev Cancer,1474-175X,1474-1768,66.8,Q1,1.0
World psychiatry : official journal of the World Psychiatric Association (WPA),World Psychiatry,1723-8617,2051-5545,65.8,Q1,1.0
Annals of oncology : official journal of the European Society for Medical Oncology,Ann Oncol,0923-7534,1569-8041,65.4,Q1,1.0
Nature reviews. Immunology,Nat Rev Immunol,1474-1733,1474-1741,60.9,Q1,1.0
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports,MMWR Recomm Rep,1057-5987,1545-8601,60.1,Q1,1.0
JAMA,JAMA,0098-7484,1538-3598,55.0,Q1,1.0
Signal transduction and targeted therapy,Signal Transduct Target Ther,2095-9907,2059-3635,52.7,Q1,1.0
Nature reviews. Genetics,Nat Rev Genet,1471-0056,1471-0064,52.0,Q1,1.0
Nature reviews. Gastroenterology & hepatology,Nat Rev Gastroenterol Hepatol,1759-5045,1759-5053,51.0,Q1,1.0
Nature medicine,Nat Med,1078-8956,1546-170X,50.0,Q1,1.0
MMWR. CDC surveillance summaries : Morbidity and mortality weekly report. CDC surveillance summaries,MMWR CDC Surveill Summ,1545-8636,,49.8,Q1,1.0
Nature,Nature,0028-0836,1476-4687,48.5,Q1,1.0
"Science (New York, N.Y.)",Science,0036-8075,1095-9203,45.8,Q1,1.0
The Lancet. Neurology,Lancet Neurol,1474-4422,1474-4465,45.5,Q1,1.0
Reviews of modern physics,Rev Mod Phys,0034-6861,1539-0756,44.8,Q1,1.0
Cancer cell,Cancer Cell,1535-6108,1878-3686,44.5,Q1,1.0
Nature reviews. Cardiology,Nat Rev Cardiol,1759-5002,1759-5010,44.2,Q1,1.0
Cell,Cell,0092-8674,1097-4172,42.5,Q1,1.0
Journal of clinical oncology : official journal of the American Society of Clinical Oncology,J Clin Oncol,0732-183X,1527-7755,41.9,Q1,1.0
The lancet. Diabetes & endocrinology,Lancet Diabetes Endocrinol,2213-8587,2213-8595,41.8,Q1,1.0
Nature biotechnology,Nat Biotechnol,1087-0156,1546-1696,41.7,Q1,1.0
Nature reviews. Endocrinology,Nat Rev Endocrinol,1759-5029,1759-5037,40.0,Q1,1.0
Progress in materials science,Prog Mater Sci,0079-6425,1873-2208,40.0,Q1,1.0
Nature reviews. Nephrology,Nat Rev Nephrol,1759-5061,1759-507X,39.8,Q1,1.0
Chemical Society reviews,Chem Soc Rev,0306-0012,1460-4744,39.0,Q1,1.0
Circulation,Circulation,0009-7322,1524-4539,38.6,Q1,1.0
Nature materials,Nat Mater,1476-1122,1476-4660,38.5,Q1,1.0
"Reviews of geophysics (Washington, D.C. : 1985)",Rev Geophys,8755-1209,,37.3,Q1,1.0
Progress in energy and combustion science,Prog Energy Combust Sci,0360-1285,1873-216X,37.0,Q1,1.0
Nano-micro letters,Nanomicro Lett,2311-6706,2150-5551,36.3,Q1,1.0
Electrochemical energy reviews,Electrochem Energ Rev,2520-8489,2520-8136,36.3,Q1,1.0
The Lancet. Oncology,Lancet Oncol,1470-2045,1474-5488,35.9,Q1,1.0
European heart journal,Eur Heart J,0195-668X,1522-9645,35.6,Q1,1.0
Nature nanotechnology,Nat Nanotechnol,1748-3387,1748-3395,34.9,Q1,1.0
Annual review of pathology,Annu Rev Pathol,1553-4006,1553-4014,34.5,Q1,1.0
Annual review of immunology,Annu Rev Immunol,0732-0582,1545-3278,33.3,Q1,1.0
Cancer discovery,Cancer Discov,2159-8274,2159-8290,33.3,Q1,1.0
iMeta,Imeta,2770-5986,2770-596X,33.2,Q1,1.0
Nature reviews. Neurology,Nat Rev Neurol,1759-4758,1759-4766,33.1,Q1,1.0
Journal of hepatology,J Hepatol,0168-8278,1600-0641,33.0,Q1,1.0
Nature photonics,Nat Photonics,1749-4885,1749-4893,32.9,Q1,1.0
The Lancet. Respiratory medicine,Lancet Respir Med,2213-2600,2213-2619,32.8,Q1,1.0
Nature reviews. Rheumatology,Nat Rev Rheumatol,1759-4790,1759-4804,32.7,Q1,1.0
Annual review of astronomy and astrophysics,Annu Rev Astron Astrophys,0066-4146,,32.5,Q1,1.0
Nature methods,Nat Methods,1548-7091,1548-7105,32.1,Q1,1.0
The Lancet. Infectious diseases,Lancet Infect Dis,1473-3099,1474-4457,31.0,Q1,1.0
Cell metabolism,Cell Metab,1550-4131,1932-7420,30.9,Q1,1.0
Energy & environmental science,Energy Environ Sci,1754-5692,1754-5706,30.8,Q1,1.0
Annual review of condensed matter physics,Annu Rev Condens Matter Phys,1947-5454,1947-5462,30.7,Q1,2.0
Annual review of fluid mechanics,Annu Rev Fluid Mech,0066-4189,1545-4479,30.2,Q1,1.0
Physics reports,Phys Rep,0370-1573,,29.5,Q1,1.0
Annual review of psychology,Annu Rev Psychol,0066-4308,1545-2085,29.4,Q1,
Nature genetics,Nat Genet,1061-4036,1546-1718,29.0,Q1,1.0
Physiological reviews,Physiol Rev,0031-9333,1522-1210,28.7,Q1,1.0
ACM computing surveys,ACM Comput Surv,0360-0300,1557-7341,28.0,Q1,1.0
Nature immunology,Nat Immunol,1529-2908,1529-2916,27.6,Q1,1.0
Nature climate change,Nat Clim Chang,1758-678X,1758-6798,27.1,Q1,1.0
International journal of information management,Int J Inf Manage,0268-4012,0143-6236,27.0,Q1,1.0
Wiley interdisciplinary reviews. Computational molecular science,Wiley Interdiscip Rev Comput Mol Sci,1759-0876,1759-0884,27.0,Q1,2.0
"Advanced materials (Deerfield Beach, Fla.)",Adv Mater,0935-9648,1521-4095,26.8,Q1,1.0
"Materials science & engineering. R, Reports : a review journal",Mater Sci Eng R Rep,0927-796X,,26.8,Q1,1.0
Nature reviews. Neuroscience,Nat Rev Neurosci,1471-003X,1471-0048,26.7,Q1,1.0
Annual review of plant biology,Annu Rev Plant Biol,1543-5008,1545-2123,26.5,Q1,1.0
The astronomy and astrophysics review,Astron Astrophys Rev,0935-4956,1432-0754,26.5,Q1,1.0
Immunity,Immunity,1074-7613,1097-4180,26.3,Q1,1.0
Progress in polymer science,Prog Polym Sci,0079-6700,1873-1619,26.1,Q1,1.0
Advanced energy materials,Adv Energy Mater,1614-6832,1614-6840,26.0,Q1,1.0
Cell research,Cell Res,1001-0602,1748-7838,25.9,Q1,1.0
Proceedings of the IEEE. Institute of Electrical and Electronics Engineers,Proc IEEE Inst Electr Electron Eng,0018-9219,1558-2256,25.9,Q1,1.0
European urology,Eur Urol,0302-2838,1873-7560,25.2,Q1,1.0
Gastroenterology,Gastroenterology,0016-5085,1528-0012,25.1,Q1,1.0
Fungal diversity,Fungal Divers,1560-2745,1878-9129,24.8,Q1,1.0
Molecular plant,Mol Plant,1674-2052,1752-9867,24.1,Q1,1.0
Coordination chemistry reviews,Coord Chem Rev,0010-8545,,23.5,Q1,1.0
"Light, science & applications",Light Sci Appl,2095-5545,2047-7538,23.4,Q1,1.0
JAMA internal medicine,JAMA Intern Med,2168-6106,2168-6114,23.3,Q1,1.0
Blood,Blood,0006-4971,1528-0020,23.1,Q1,1.0
Military Medical Research,Mil Med Res,2095-7467,2054-9369,22.9,Q1,1.0
"Exploration (Beijing, China)",Exploration (Beijing),2766-8509,2766-2098,22.5,Q1,
Journal of the American College of Cardiology,J Am Coll Cardiol,0735-1097,1558-3597,22.3,Q1,1.0
Endocrine reviews,Endocr Rev,0163-769X,1945-7189,22.0,Q1,1.0
"Materials today (Kidlington, England)",Mater Today (Kidlington),1369-7021,1873-4103,22.0,Q1,1.0
Advanced composites and hybrid materials,Adv Compos Hybrid Mater,2522-0128,2522-0136,21.8,Q1,1.0
